,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude
151,2250 24th St Apt 336,San Francisco,CA,94107.0,549000.0,602.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15152096_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7533831,-122.4021236
152,828 Arkansas St,San Francisco,CA,94107.0,999000.0,,2.0,2.0,3.0,House For Sale,"http://www.zillow.com/homes/for_sale/15151673_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.755638,-122.398118
153,250 King St Unit 582,San Francisco,CA,94107.0,795000.0,882.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/80731988_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7781311,-122.3932477
154,945-947 MINNESOTA ST,SAN FRANCISCO,CA,94107.0,1999999.0,3148.0,7.0,3.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15150987_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7582422,-122.3901342
155,259 Clara St # 301,San Francisco,CA,94107.0,1199000.0,1220.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2094612246_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7783714,-122.4034816
156,755 Tennessee St Apt 10,San Francisco,CA,94107.0,1149000.0,1383.0,2.0,2.0,8.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/53153610_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.762336,-122.389354
157,555 4th St Unit 809,San Francisco,CA,94107.0,1149000.0,1052.0,2.0,3.0,8.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/79843231_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7790859,-122.3971471
158,77 Dow Pl Apt 104,San Francisco,CA,94107.0,849000.0,1064.0,1.0,1.5,,Condo For Sale,"http://www.zillow.com/homes/for_sale/61288449_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.784208,-122.3967439
159,200 Brannan St Apt 402,San Francisco,CA,94107.0,1269000.0,1263.0,1.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/69817637_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7835714,-122.3907007
160,1300 22nd St # 9JMVLI,San Francisco,CA,94107.0,1205000.0,959.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2094745622_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7578894,-122.3944222
163,555 4th St Unit 530,San Francisco,CA,94107.0,580000.0,580.0,0.0,1.0,12.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/79842420_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7790859,-122.3971471
164,829 Folsom St Unit 706,San Francisco,CA,94107.0,699000.0,675.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/123597416_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7812512,-122.4018318
165,1745 20th St,San Francisco,CA,94107.0,3495000.0,3015.0,3.0,3.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15150651_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.759641,-122.398936
166,88 King St Apt 110,San Francisco,CA,94107.0,1249000.0,1335.0,2.0,2.5,,Condo For Sale,"http://www.zillow.com/homes/for_sale/54854638_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7806904,-122.3892201
167,509 Pennsylvania Ave,San Francisco,CA,94107.0,1775000.0,1879.0,3.0,3.0,15.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/15150934_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.760028,-122.393061
168,72 Townsend St Unit 903,San Francisco,CA,94107.0,3147585.0,,3.0,2.5,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095998200_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7812595,-122.3902125
169,88 Townsend St Apt 316,San Francisco,CA,94107.0,879000.0,722.0,1.0,1.0,16.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/80755527_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7808121,-122.3905037
170,601 4th St Unit 129,San Francisco,CA,94107.0,975000.0,1060.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/80624745_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7782095,-122.3958387
171,219 Brannan St Unit 3K,San Francisco,CA,94107.0,1690000.0,1615.0,3.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/52422779_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7830568,-122.3901601
172,1300 22nd St # 315,San Francisco,CA,94107.0,1205000.0,959.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2094745623_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7578894,-122.3944222
173,72 Townsend St Unit 709,San Francisco,CA,94107.0,1539900.0,,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095998206_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7812595,-122.3902125
174,72 Townsend St Unit 612,San Francisco,CA,94107.0,1099000.0,,1.0,1.5,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095998215_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7812595,-122.3902125
175,850 Minnesota St Unit 556,San Francisco,CA,94107.0,1795000.0,1586.0,2.0,2.5,,Condo For Sale,"http://www.zillow.com/homes/for_sale/111925487_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7598414,-122.3906805
177,219 Brannan St Unit 16K,San Francisco,CA,94107.0,1988000.0,1224.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/52355640_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7830568,-122.3901601
180,451 Kansas St Unit 476,San Francisco,CA,94107.0,1099000.0,918.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/89239259_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7638443,-122.4029888
181,1300 22nd St # 402,San Francisco,CA,94107.0,1290000.0,945.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2094745624_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7578894,-122.3944222
182,236 Shipley St Unit 205,San Francisco,CA,94107.0,335133.0,514.0,2.0,1.0,125.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095971412_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7791035,-122.4038053
184,260 King Street 875 # 1,San Francisco,CA,94107.0,650000.0,,1.0,1.0,193.0,Make Me Move,"http://www.zillow.com/homes/for_sale/2096747997_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7772049,-122.3940134
187,461 2nd St Apt 129,San Francisco,CA,94107.0,1550000.0,2255.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2105127958_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7836882,-122.3935753
191,461 2nd St,San Francisco,CA,94107.0,6250000.0,1200.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2103140100_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7836882,-122.3935753
192,88 Merlin St,San Francisco,CA,94107.0,1650000.0,3650.0,0.0,2.0,,House For Sale,"http://www.zillow.com/homes/for_sale/2123734503_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7775775,-122.4013776
193,250 King St Unit 370,San Francisco,CA,94107.0,775000.0,807.0,1.0,1.0,71.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/69819564_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7781311,-122.3932477
194,767 Bryant St Apt 203,San Francisco,CA,94107.0,2100000.0,3496.0,2.0,3.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2129959115_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.776358,-122.401564
195,601 4th St Unit 217,San Francisco,CA,94107.0,1849000.0,2176.0,2.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/80737757_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7782095,-122.3958387
196,250 King St Unit 718,San Francisco,CA,94107.0,1199000.0,1197.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/69819436_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7781311,-122.3932477
197,21 Jennifer Pl,San Francisco,CA,94107.0,799000.0,1157.0,1.0,1.0,30.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/80751029_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7800244,-122.4023748
198,158-160 MISSOURI ST,SAN FRANCISCO,CA,94107.0,2725000.0,2800.0,3.0,4.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15148926_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7643072,-122.3968332
199,88 Townsend St Apt 403,San Francisco,CA,94107.0,720000.0,591.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/80730792_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7808121,-122.3905037
202,1317 And 1319 19th St,San Francisco,CA,94107.0,2400000.0,1700.0,2.0,2.0,64.0,For Sale by Owner,"http://www.zillow.com/homes/for_sale/2095245408_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7612084,-122.3958728
203,855 Folsom St Apt 505,San Francisco,CA,94107.0,1680000.0,1396.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/55462033_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7807737,-122.4021633
204,650 Delancey St Apt 304,San Francisco,CA,94107.0,1595000.0,1397.0,1.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/80729600_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7827982,-122.3897154
205,631 Folsom St # PhD,San Francisco,CA,94107.0,3295000.0,,3.0,3.0,43.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095002238_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7849821,-122.3970878
206,72 Townsend St Unit 603,San Francisco,CA,94107.0,1038000.0,785.0,1.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2095998204_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7812595,-122.3902125
207,228 Mississippi St # B,San Francisco,CA,94107.0,1799000.0,1725.0,3.0,3.0,82.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/89239888_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7634378,-122.394946
208,1089-1093 Kansas St,San Francisco,CA,94107.0,1975000.0,2050.0,5.0,3.0,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2095237050_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7559216,-122.4025739
209,2476 3rd Street,San Francisco,CA,94107.0,4800000.0,2496.0,4.0,4.0,660.0,Make Me Move,"http://www.zillow.com/homes/for_sale/2101801122_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7583329,-122.3886212
210,1089 Kansas St,San Francisco,CA,94107.0,1975000.0,2050.0,0.0,,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/15151447_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.755932,-122.402381
211,72 Townsend St Unit 308,San Francisco,CA,94107.0,1080000.0,950.0,1.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096782206_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7812595,-122.3902125
