,Unnamed: 0,Unnamed: 0.1,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude,photo_url,neighborhood
540,541,727,1565 16th Ave,San Francisco,CA,94122.0,1399000.0,1575.0,3.0,1.5,,House For Sale,"http://www.zillow.com/homes/for_sale/15106560_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7587901,-122.47403200000001,https://photos.zillowstatic.com/p_h/ISib4yftjwsavj0000000000.jpg,Inner Sunset
541,542,728,1473 11th Ave,San Francisco,CA,94122.0,1795000.0,3298.0,0.0,,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/15105870_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.760689899999996,-122.468553,https://photos.zillowstatic.com/p_h/ISm28auafkeaj60000000000.jpg,Inner Sunset
542,543,729,4431 Irving St,San Francisco,CA,94122.0,999000.0,1356.0,3.0,2.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15104050_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.76213920000001,-122.50559720000001,https://photos.zillowstatic.com/p_h/ISy3xnihw5bw691000000000.jpg,Outer Sunset
543,544,730,1640 9th Ave,San Francisco,CA,94122.0,1898000.0,2525.0,3.0,2.5,,House For Sale,"http://www.zillow.com/homes/for_sale/15109886_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7576787,-122.46561470000002,https://photos.zillowstatic.com/p_h/ISes6gbjmquzeh0000000000.jpg,Inner Sunset
544,545,731,2445 Lawton St,San Francisco,CA,94122.0,1100000.0,1500.0,3.0,2.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15108965_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.757169,-122.489303,https://photos.zillowstatic.com/p_h/ISq94r7iwbrabp1000000000.jpg,Outer Sunset
545,546,732,1871 34th Ave,San Francisco,CA,94122.0,949999.0,1225.0,2.0,1.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15113001_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7522191,-122.49268810000001,https://photos.zillowstatic.com/p_h/IS2jzeu93yfncl0000000000.jpg,Outer Sunset
546,547,733,2233 Judah St,San Francisco,CA,94122.0,1098800.0,,2.0,2.0,3.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2094561300_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7612574,-122.4861701,https://photos.zillowstatic.com/p_h/ISax36oz2oo3al1000000000.jpg,Outer Sunset
547,548,734,1523 41st Ave,San Francisco,CA,94122.0,899000.0,1050.0,3.0,2.0,20.0,House For Sale,"http://www.zillow.com/homes/for_sale/15107684_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.758294899999996,-122.50073,https://photos.zillowstatic.com/p_h/ISatcmz0h2mh580000000000.jpg,Outer Sunset
548,549,735,1891 48th Ave,San Francisco,CA,94122.0,729000.0,1000.0,2.0,1.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15113668_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7512098,-122.507653,https://photos.zillowstatic.com/p_h/ISqx2unfs39n9t1000000000.jpg,Outer Sunset
549,550,736,1215 Kirkham St,San Francisco,CA,94122.0,949000.0,1161.0,2.0,1.0,24.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/15106598_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.75972,-122.473904,https://photos.zillowstatic.com/p_h/ISa95rqw1ljap60000000000.jpg,Inner Sunset
550,551,737,1580 Great Hwy Apt 1,San Francisco,CA,94122.0,856000.0,1024.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15108025_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.75694489999999,-122.50866869999999,https://photos.zillowstatic.com/p_h/IS2zrzpvnc6yln0000000000.jpg,Outer Sunset
551,552,739,1509 29th Ave,San Francisco,CA,94122.0,399000.0,450.0,0.0,1.0,65.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095259304_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.75911,-122.48773999999999,https://photos.zillowstatic.com/p_h/ISybrw75x4ad8m0000000000.jpg,Outer Sunset
552,553,751,1900 Noriega St,San Francisco,CA,94122.0,650000.0,2321.0,0.0,,80.0,Lot/Land For Sale,"http://www.zillow.com/homes/for_sale/2095453625_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7541421,-122.4843781,https://photos.zillowstatic.com/p_h/ISyvq13b9lmvrv0000000000.jpg,Outer Sunset
553,554,752,3045 Irving St,San Francisco,CA,94122.0,1499000.0,3220.0,0.0,,82.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2102221908_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.762713,-122.49076000000001,https://photos.zillowstatic.com/p_h/ISewp1g1p0dnql1000000000.jpg,Outer Sunset
554,555,753,1259 24th Ave,San Francisco,CA,94122.0,1450000.0,3180.0,0.0,,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2099355129_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.764072,-122.48286399999999,https://photos.zillowstatic.com/p_h/ISq1qum6n6yn6r0000000000.jpg,Outer Sunset
555,556,755,1259-1261 24TH AVE,SAN FRANCISCO,CA,94122.0,1485000.0,3100.0,0.0,,,House For Sale,"http://www.zillow.com/homes/for_sale/15101806_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.764072,-122.48286399999999,https://photos.zillowstatic.com/p_h/ISmm7jsx1kpyko1000000000.jpg,Outer Sunset
556,557,757,2526 Francisco St,San Francisco,CA,94123.0,5988000.0,3945.0,5.0,4.5,,House For Sale,"http://www.zillow.com/homes/for_sale/15079935_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.800596500000005,-122.44682949999999,https://photos.zillowstatic.com/p_h/ISqxiylxxseyqd1000000000.jpg,Marina
557,558,758,2341 Franklin St Apt 2,San Francisco,CA,94123.0,795000.0,1306.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15072862_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7960939,-122.42550200000001,https://photos.zillowstatic.com/p_h/ISe48llftrl1o80000000000.jpg,Pacific Heights
558,559,759,290 Avila St,San Francisco,CA,94123.0,5695000.0,4306.0,5.0,5.0,3.0,House For Sale,"http://www.zillow.com/homes/for_sale/15070010_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.8037614,-122.440785,https://photos.zillowstatic.com/p_h/IS6y1egjofia4c1000000000.jpg,Marina
559,560,760,3742 Divisadero St,San Francisco,CA,94123.0,2595000.0,2300.0,3.0,2.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15079619_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.8043474,-122.4434423,https://photos.zillowstatic.com/p_h/ISirg2k6ti0ow80000000000.jpg,Marina
560,561,761,2171 Bay St # 2,San Francisco,CA,94123.0,1895000.0,1682.0,3.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15080051_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.801628,-122.44266200000001,https://photos.zillowstatic.com/p_h/ISijebjrqownjt0000000000.jpg,Marina
561,562,762,2100 Green St Apt 406,San Francisco,CA,94123.0,2750000.0,1866.0,2.0,2.0,,Co-op For Sale,"http://www.zillow.com/homes/for_sale/80743767_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7965625,-122.4339368,https://photos.zillowstatic.com/p_h/ISa52a0luydzrb0000000000.jpg,Marina
562,563,763,1431 Jefferson St,San Francisco,CA,94123.0,2149000.0,1801.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/96043207_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.805332,-122.436097,https://photos.zillowstatic.com/p_h/ISy39tq8re9j8c0000000000.jpg,Marina
563,564,764,2200 Beach St,San Francisco,CA,94123.0,1150000.0,980.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2104258174_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.803635799999995,-122.4455636,https://photos.zillowstatic.com/p_h/IS2zbfj8ocgbpc0000000000.jpg,Marina
564,565,765,2750 Lyon St,San Francisco,CA,94123.0,4995000.0,3100.0,4.0,4.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15080531_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7962757,-122.4467364,https://photos.zillowstatic.com/p_h/IS6yp0er6sgaxt0000000000.jpg,Marina
565,566,766,1468 Francisco St Apt 4,San Francisco,CA,94123.0,995000.0,984.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15070405_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.802882000000004,-122.4294037,https://photos.zillowstatic.com/p_h/ISyfmn4yqp7lrb1000000000.jpg,Marina
