,Unnamed: 0,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude,photo_url
363,486,340 Naples St,San Francisco,CA,94112.0,1200000.0,2012.0,6.0,3.0,52.0,For Sale by Owner,"http://www.zillow.com/homes/for_sale/15169660_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7233716,-122.429548,https://photos.zillowstatic.com/p_h/ISe8ftnpdhpjls1000000000.jpg
364,487,139 Paris St,San Francisco,CA,94112.0,995000.0,,0.0,,225.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2098124008_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.726293,-122.431101,https://photos.zillowstatic.com/p_h/ISuchaj5qrgv1o0000000000.jpg
365,488,5201 Mission St,San Francisco,CA,94112.0,2800000.0,3667.0,0.0,,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2146362149_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7150991,-122.4417787,https://photos.zillowstatic.com/p_h/ISecymmobl38fh0000000000.jpg
366,489,3933 Mission St,San Francisco,CA,94112.0,1350000.0,3098.0,0.0,,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2109216332_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7347051,-122.4250736,https://photos.zillowstatic.com/p_h/ISyn8arqpk2k880000000000.jpg
367,490,42 Farragut Ave,San Francisco,CA,94112.0,1668888.0,2600.0,5.0,4.0,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/15194160_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.710679,-122.449887,https://photos.zillowstatic.com/p_h/IS6e6glhy5a3vx1000000000.jpg
368,491,51 Seville St,San Francisco,CA,94112.0,1100000.0,2243.0,5.0,2.0,159.0,House For Sale,"http://www.zillow.com/homes/for_sale/15178043_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7117593,-122.4346427,https://photos.zillowstatic.com/p_h/IS66oolqdt6go90000000000.jpg
369,492,400 London St,San Francisco,CA,94112.0,2280000.0,3902.0,0.0,,45.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/15171013_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7227795,-122.4355036,https://photos.zillowstatic.com/p_h/IS62h4ah28j3t20000000000.jpg
370,494,4281 24th St,San Francisco,CA,94114.0,1795000.0,2385.0,3.0,2.5,,House For Sale,"http://www.zillow.com/homes/for_sale/15180128_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.750842,-122.438049,https://photos.zillowstatic.com/p_h/ISqtzkb8gamhjq1000000000.jpg
371,495,682 Castro St,San Francisco,CA,94114.0,899000.0,1103.0,2.0,1.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15129324_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.758009,-122.43525,https://photos.zillowstatic.com/p_h/ISucp8r871pu5f0000000000.jpg
372,496,44 Hartford St,San Francisco,CA,94114.0,1795000.0,2233.0,3.0,2.5,,House For Sale,"http://www.zillow.com/homes/for_sale/2094539534_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.761755,-122.434256,https://photos.zillowstatic.com/p_h/IS668kv2dabrjr0000000000.jpg
