,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude
54,225 9th St # B,San Francisco,CA,94103.0,579000.0,606.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095521503_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7747892,-122.4126214
55,140 S Van Ness Ave Unit 801,San Francisco,CA,94103.0,1270000.0,1800.0,3.0,2.0,509.0,Foreclosure,"http://www.zillow.com/homes/for_sale/64969749_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7716893,-122.4186755
56,55 Norfolk St Apt 301,San Francisco,CA,94103.0,615000.0,683.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/80735829_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7710051,-122.4135941
57,1930 Mission St Unit 304,San Francisco,CA,94103.0,405000.0,344.0,0.0,1.0,66.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095687120_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7662071,-122.4201693
58,1160 Mission St Unit 1912,San Francisco,CA,94103.0,749000.0,,1.0,1.0,35.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/83154025_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7783901,-122.412238
59,170 Russ St,San Francisco,CA,94103.0,1595000.0,2230.0,2.0,3.0,47.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/59779848_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7778839,-122.4074588
60,349 S Van Ness Ave,San Francisco,CA,94103.0,2000000.0,4750.0,0.0,,43.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2095397334_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.767668,-122.417366
61,338 Potrero Ave # 503,San Francisco,CA,94103.0,1062000.0,845.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2095745376_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7652366,-122.4075214
62,60 Rausch St Apt 304,San Francisco,CA,94103.0,1140000.0,1138.0,2.0,2.0,130.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/80731849_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7761423,-122.4096951
63,6 Mint Plz Apt 900,San Francisco,CA,94103.0,4795000.0,3390.0,3.0,4.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096314153_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7829153,-122.4078587
64,10 Mint Plz # 3,San Francisco,CA,94103.0,1695000.0,1559.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095253372_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7828787,-122.408096
65,140 S Van Ness Ave Unit 840,San Francisco,CA,94103.0,949000.0,1115.0,2.0,2.0,145.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/64969857_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7716893,-122.4186755
66,574 Natoma St Apt 402,San Francisco,CA,94103.0,595000.0,370.0,0.0,1.0,65.0,Make Me Move,"http://www.zillow.com/homes/for_sale/119684755_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7790285,-122.4094653
67,180 7th St # 201,San Francisco,CA,94103.0,850000.0,804.0,2.0,1.0,495.0,Make Me Move,"http://www.zillow.com/homes/for_sale/15147355_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7780984,-122.4101089
